dateTime,blockNumber,timeStamp,hash,from,to,value,ActualValue,tokenName,tokenSymbol
2024-12-31 14:13:35,21522976,1735654415,0x835926d55f99c32238b309471e235a51a9d782902bad2266766ecb6681efe828,0x2c89a2ee92b9870f55989b4132a58c0e85222d86,0x5141b82f5ffda4c6fe1e372978f1c5427640a190,17398498262470286511,17.398498262470284,Aave Ethereum WETH,aEthWETH
2024-12-31 14:13:35,21522976,1735654415,0x835926d55f99c32238b309471e235a51a9d782902bad2266766ecb6681efe828,0x0b8a49d816cc709b6eadb09498030ae3416b66dc,0x2c89a2ee92b9870f55989b4132a58c0e85222d86,59640259097,59640.259097,Tether USD,USDT
2024-12-31 14:13:47,21522977,1735654427,0x416fbbbabbc9b611c67c85ca5518d6ff7aac2556bf89f2d9674ca2b86032ae4c,0x0000000000000000000000000000000000000000,0x2c89a2ee92b9870f55989b4132a58c0e85222d86,488415173085,4.88415173085e-07,Aave Ethereum WETH,aEthWETH
2024-12-31 14:13:47,21522977,1735654427,0x416fbbbabbc9b611c67c85ca5518d6ff7aac2556bf89f2d9674ca2b86032ae4c,0x2c89a2ee92b9870f55989b4132a58c0e85222d86,0x6482e8fb42130b3cce53096bb035ebe79435e2d4,69593993049881146047,69.59399304988113,Aave Ethereum WETH,aEthWETH
2024-12-31 14:13:47,21522977,1735654427,0x416fbbbabbc9b611c67c85ca5518d6ff7aac2556bf89f2d9674ca2b86032ae4c,0x5b93d80da1a359340d1f339fb574bdc56763f995,0x2c89a2ee92b9870f55989b4132a58c0e85222d86,238539834585,238539.834585,Tether USD,USDT
2024-12-31 14:14:35,21522981,1735654475,0xa76a7640f2327b1682f649a0dd30907c0c69999c8dc2e18921746d3a07d1015e,0x2c89a2ee92b9870f55989b4132a58c0e85222d86,0x23878914efe38d27c4d67ab83ed1b93a74d4086a,3335728695166,3335728.695166,Tether USD,USDT
2024-12-31 14:14:35,21522981,1735654475,0xa76a7640f2327b1682f649a0dd30907c0c69999c8dc2e18921746d3a07d1015e,0x0000000000000000000000000000000000000000,0x2c89a2ee92b9870f55989b4132a58c0e85222d86,3335728695396,3335728.695396,Aave Ethereum USDT,aEthUSDT
2024-12-31 17:16:47,21523883,1735665407,0xd8d3cab67a0d231b33cc78c6f581e3bbe2a0aa0d993ae323085bee5f05ce8cee,0x0000000000000000000000000000000000000000,0x2c89a2ee92b9870f55989b4132a58c0e85222d86,727000000000000000000,727.0,Aave Ethereum Variable Debt WETH,variableDebtEthWETH
2024-12-31 17:18:11,21523890,1735665491,0x4438c668d9cc18b0dcbbc356586977b48d704dd4acf138692eab6e2aeedae202,0x111111125421ca6dc452d289314280a0f8842a65,0x2c89a2ee92b9870f55989b4132a58c0e85222d86,727000000000000000000,727.0,Wrapped Ether,WETH
2024-12-31 17:47:47,21524037,1735667267,0xbc571503b425a1d8ef939dbd19ceb0430c43be6a4722c5a32eab0407cbc443e7,0x2c89a2ee92b9870f55989b4132a58c0e85222d86,0x0000000000000000000000000000000000000000,726998890004688609386,726.9988900046886,Aave Ethereum Variable Debt WETH,variableDebtEthWETH
