dateTime,blockNumber,timeStamp,hash,from,to,ActualValue,tokenName,tokenSymbol
2024-09-29 15:10:23,20857103,1727622623,0x2c3663d6b35b88687f877de422b33cc698e40e60638a67b668e87d00188c5dfb,0xa9048585166f4f7c4589ade19567bb538035ed36,0x6c2a355929ee1262305e385ad49b84fe5f5a4777,31.796963525175304,Wrapped Ether,WETH
2024-09-29 15:10:23,20857103,1727622623,0x8c3b87a31474300c9f1980ef81985ee5f8cf5fe527a772b66c5205ca2b8c54c6,0xa8c1c98aaf99a5dfc907d61b892b2ad624901185,0x6c2a355929ee1262305e385ad49b84fe5f5a4777,317.96963525401145,Wrapped Ether,WETH
2024-09-29 15:10:35,20857104,1727622635,0xab9f3da24e776144572b038310870531ff9e44b75692d79bf1615eb5b1743a02,0x5b93d80da1a359340d1f339fb574bdc56763f995,0x6c2a355929ee1262305e385ad49b84fe5f5a4777,13.819007966403811,Wrapped Ether,WETH
2024-09-29 15:10:35,20857104,1727622635,0xab9f3da24e776144572b038310870531ff9e44b75692d79bf1615eb5b1743a02,0x6c2a355929ee1262305e385ad49b84fe5f5a4777,0x6482e8fb42130b3cce53096bb035ebe79435e2d4,36716.0,Tether USD,USDT
2024-09-29 15:28:11,20857192,1727623691,0x597ce8e4f555886d4b39b42133291f5405144bbf0183aabed5d4919c56da598f,0x6c2a355929ee1262305e385ad49b84fe5f5a4777,0xa8c1c98aaf99a5dfc907d61b892b2ad624901185,3000000.0,Tether USD,USDT
2024-09-29 15:28:11,20857192,1727623691,0x597ce8e4f555886d4b39b42133291f5405144bbf0183aabed5d4919c56da598f,0xa8c1c98aaf99a5dfc907d61b892b2ad624901185,0x6c2a355929ee1262305e385ad49b84fe5f5a4777,1128.3998965068963,Wrapped Ether,WETH
2024-09-29 15:28:59,20857196,1727623739,0x85a13dbc85617cad781efb50f9c7f348f60a1592874f773549e392bf48bd79ed,0x6c2a355929ee1262305e385ad49b84fe5f5a4777,0x8d8404f8cca4c8834ca3cab1e54887ae47724bee,459180.788815,Tether USD,USDT
2024-09-29 15:28:59,20857196,1727623739,0xe431a43bff232181162271dbb5c0d0086efb8dfc1a4d3ee929e3740053a79d42,0x6c2a355929ee1262305e385ad49b84fe5f5a4777,0xa9048585166f4f7c4589ade19567bb538035ed36,275508.473289,Tether USD,USDT
2024-09-29 15:28:59,20857196,1727623739,0xb591204a83d82f18f072aeb55f6c5427952b03e01935f6753df424270e1a1d8b,0x6c2a355929ee1262305e385ad49b84fe5f5a4777,0xa8c1c98aaf99a5dfc907d61b892b2ad624901185,918361.577631,Tether USD,USDT
2024-09-29 15:28:59,20857196,1727623739,0x9ea0ba40e82e877ca8431034063ad8e247d8eb8dabccdfdbbad97c1b1758bd4a,0x6c2a355929ee1262305e385ad49b84fe5f5a4777,0xb6613cc55866e282638006455390207c1d485be9,32070.497324,Tether USD,USDT
2024-09-29 15:28:59,20857196,1727623739,0x9ea0ba40e82e877ca8431034063ad8e247d8eb8dabccdfdbbad97c1b1758bd4a,0xb6613cc55866e282638006455390207c1d485be9,0x6c2a355929ee1262305e385ad49b84fe5f5a4777,12.056439078740992,Wrapped Ether,WETH
2024-09-29 15:28:59,20857196,1727623739,0x85a13dbc85617cad781efb50f9c7f348f60a1592874f773549e392bf48bd79ed,0xad3b67bca8935cb510c8d18bd45f0b94f54a968f,0x6c2a355929ee1262305e385ad49b84fe5f5a4777,172.62236848236665,Wrapped Ether,WETH
