date,volume
2022-11-18,61357857
2022-11-19,33922581
2022-11-20,57558699
2022-11-21,73846446
2022-11-22,76971271
2022-11-23,69769944
2022-11-24,41711377
2022-11-25,26040652
2022-11-26,36062842
2022-11-27,13993271
2022-11-28,26691243
2022-11-29,14655804
2022-11-30,21771648
2022-12-01,14104776
2022-12-02,13489815
2022-12-03,16059994
2022-12-04,17365539
2022-12-05,24127507
2022-12-06,28103139
2022-12-07,14867746
2022-12-08,10749483
2022-12-09,13525539
2022-12-10,10457230
2022-12-11,7879706
2022-12-12,12474894
2022-12-13,20577281
2022-12-14,27035594
2022-12-15,22235114
2022-12-16,33418839
2022-12-17,12344007
2022-12-18,10928732
2022-12-19,15067416
2022-12-20,12308967
2022-12-21,11135473
2022-12-22,14704774
2022-12-23,12326034
2022-12-24,11584736
2022-12-25,10266283
2022-12-26,11689303
2022-12-27,16001410
2022-12-28,41907257
2022-12-29,31781508
2022-12-30,32921648
2022-12-31,17938361
2023-01-01,15219483
2023-01-02,42458051
2023-01-03,67104842
2023-01-04,118209529
2023-01-05,151833093
2023-01-06,107326129
2023-01-07,53357926
2023-01-08,64636547
2023-01-09,93394245
2023-01-10,60762709
2023-01-11,50639012
2023-01-12,63056096
2023-01-13,51435580
2023-01-14,101999120
2023-01-15,68656617
2023-01-16,66464421
2023-01-17,50584551
2023-01-18,86902066
2023-01-19,43778587
2023-01-20,53783368
2023-01-21,59892691
2023-01-22,44280932
2023-01-23,75210792
2023-01-24,47579882
2023-01-25,55278843
2023-01-26,44566043
2023-01-27,39001455
2023-01-28,32001433
2023-01-29,47248061
2023-01-30,47065349
2023-01-31,32849573
2023-02-01,53758895
2023-02-02,41576848
2023-02-03,37356357
2023-02-04,30149817
2023-02-05,36927696
2023-02-06,30140085
2023-02-07,32380271
2023-02-08,33051215
2023-02-09,45733168
2023-02-10,45195579
2023-02-11,22437495
2023-02-12,29880150
2023-02-13,37309868
2023-02-14,43075438
2023-02-15,39140122
2023-02-16,56750015
2023-02-17,37381253
2023-02-18,36009539
2023-02-19,55802844
2023-02-20,58154411
2023-02-21,63431733
2023-02-22,47818276
2023-02-23,35257864
2023-02-24,47870321
2023-02-25,15602995
2023-02-26,25736929
2023-02-27,26654351
2023-02-28,31236354
2023-03-01,26681274
2023-03-02,26601768
2023-03-03,30758244
2023-03-04,19814387
2023-03-05,20163546
2023-03-06,18352693
2023-03-07,32183995
2023-03-08,36672073
2023-03-09,57783921
2023-03-10,85719344
2023-03-11,138934379
2023-03-12,52543735
2023-03-13,88598826
2023-03-14,65670713
2023-03-15,63453737
2023-03-16,46124991
2023-03-17,55246975
2023-03-18,68294035
2023-03-19,43332281
2023-03-20,93409221
2023-03-21,61365869
2023-03-22,815132570
2023-03-23,38123826
2023-03-24,38262243
2023-03-25,25244259
2023-03-26,22406089
2023-03-27,28310523
2023-03-28,30490832
2023-03-29,807951893
2023-03-30,37450105
2023-03-31,33626754
2023-04-01,23897396
2023-04-02,24570741
2023-04-03,39884015
2023-04-04,25120436
2023-04-05,25515295
2023-04-06,21390403
2023-04-07,18940885
2023-04-08,15697136
2023-04-09,15198337
