date,tvl
2023-11-29,2080021486.1327646
2023-11-30,2070171729.5990756
2023-12-01,2109806757.1026115
2023-12-02,2113811952.0349345
2023-12-03,2156435433.7718015
2023-12-04,2184051160.1628985
2023-12-05,2168226624.629326
2023-12-06,2211057696.472287
2023-12-07,2197850102.961652
2023-12-08,2266875045.1755705
2023-12-09,2294204248.7991242
2023-12-10,2280074395.444928
2023-12-11,2219887891.4434853
2023-12-12,2212467999.8945594
2023-12-13,2180067620.848829
2023-12-14,2256082847.6247463
2023-12-15,2254558935.395373
2023-12-16,2232115441.1938086
2023-12-17,2209665970.863004
2023-12-18,2158041196.6535563
2023-12-19,2231713225.0079417
2023-12-20,2204352582.785578
2023-12-21,2225944944.0766296
2023-12-22,2283903959.2272363
2023-12-23,2292678198.483855
2023-12-24,2313535780.514866
2023-12-25,2300234969.9887476
2023-12-26,2274236458.976024
2023-12-27,2304011097.291959
2023-12-28,2386195895.1201897
2023-12-29,2357411338.318937
2023-12-30,2295834148.7148795
2023-12-31,2330598192.9155493
2024-01-01,2326316301.2005515
2024-01-02,2416401123.6872544
2024-01-03,2414302259.825555
2024-01-04,2313545197.1386075
2024-01-05,2348421379.0635
2024-01-06,2275951200.646069
2024-01-07,2288591301.8539505
2024-01-08,2237901898.8801866
2024-01-09,2298917131.3440056
2024-01-10,2359428291.6324396
2024-01-11,2486078965.431078
2024-01-12,2473430586.4069986
2024-01-13,2413930468.2720885
2024-01-14,2433069397.4105153
2024-01-15,2430140791.5314784
2024-01-16,2448966749.0272117
2024-01-17,2464628710.322438
2024-01-18,2461210032.6299286
2024-01-19,2431848740.5071564
2024-01-20,2417521340.8598795
2024-01-21,2432645278.5050373
2024-01-22,2427767771.1863756
2024-01-23,2308419091.828373
2024-01-24,2341279653.5367703
2024-01-25,2345990316.1297812
2024-01-26,2386349655.196926
2024-01-27,2368519035.2113495
2024-01-28,2395660888.9518595
2024-01-29,2376496612.4032297
2024-01-30,2408730327.5641117
2024-01-31,2373657355.8095365
2024-02-01,2343688539.3533053
2024-02-02,2388267071.5595183
2024-02-03,2393397899.845901
2024-02-04,2391723485.194594
2024-02-05,2403480245.2635612
2024-02-06,2398617801.0871778
2024-02-07,2406179923.877984
2024-02-08,2448423420.713743
2024-02-09,2512684836.500369
2024-02-10,2521896761.4317694
2024-02-11,2547799017.2357903
2024-02-12,2525280316.973736
2024-02-13,2612822848.598439
2024-02-14,2657076073.5404105
2024-02-15,2663674535.0274935
2024-02-16,2623915332.9822435
2024-02-17,2587398637.0977144
2024-02-18,2613754544.378502
2024-02-19,2668305277.212429
2024-02-20,2654323135.5552506
2024-02-21,2612227128.5930977
2024-02-22,2653423127.0084853
2024-02-23,2615241871.1316237
2024-02-24,2640238892.0991917
2024-02-25,2667324402.9788165
2024-02-26,2672663487.061621
2024-02-27,2793604798.5638614
2024-02-28,2841687286.771814
2024-02-29,2909496691.7177157
2024-03-01,2871887829.8916025
2024-03-02,2869067435.7212586
2024-03-03,2874779335.4572244
2024-03-04,2933862026.696408
2024-03-05,3010577778.273229
2024-03-06,2998067614.8077846
2024-03-07,3009842432.921346
2024-03-08,3088350537.441723
2024-03-09,3084852154.109679
2024-03-10,3120942117.9248304
2024-03-11,3154665104.4742637
2024-03-12,3151736331.6190863
2024-03-13,3219271249.3406963
2024-03-14,3109913843.1117325
2024-03-15,2928501987.271692
2024-03-16,2957983583.951891
2024-03-17,2874522290.063279
2024-03-18,2892899295.3037844
2024-03-19,2640311245.402283
2024-03-20,2657242186.408121
2024-03-21,2808117006.08525
2024-03-22,2752963736.173636
2024-03-23,2745696168.607933
2024-03-24,2757739837.342539
2024-03-25,2807046026.0513997
2024-03-26,2911024479.4661207
2024-03-27,2884619884.4235826
2024-03-28,2886671235.6632776
2024-03-29,2856781208.5538316
2024-03-30,2842725476.1018944
2024-03-31,2875848481.027582
2024-04-01,2832555340.0662656
2024-04-02,2691311838.2573805
2024-04-03,2723601326.446866
2024-04-04,2705135792.111437
2024-04-05,2634752034.323714
2024-04-06,2705782909.937771
2024-04-07,2736150157.306062
2024-04-08,2834597200.778909
2024-04-09,2821829382.4736032
2024-04-10,2803719273.166895
2024-04-11,2835351561.3807445
2024-04-12,2795401803.0519915
2024-04-13,2605025310.708083
2024-04-14,2457325341.0899463
2024-04-15,2573638314.5132933
2024-04-16,2619652199.1466208
2024-04-17,2479329260.550749
2024-04-18,2435921583.0096436
2024-04-19,2481197135.022091
2024-04-20,2511072793.566637
2024-04-21,2590735841.956859
2024-04-22,2632884911.2573657
2024-04-23,2605944427.7547607
2024-04-24,2632239424.980383
2024-04-25,2539751347.130866
2024-04-26,2559720959.830933
2024-04-27,2503055130.1346006
2024-04-28,2555975521.9251146
2024-04-29,2547939330.971474
2024-04-30,2476867896.8454366
2024-05-01,2344762585.3024826
2024-05-02,2403997544.4818225
2024-05-03,2440670871.4725113
2024-05-04,2557452694.3858986
2024-05-05,2553903913.452399
2024-05-06,2563151254.216754
2024-05-07,2542039104.4857635
2024-05-08,2483851255.0919123
2024-05-09,2462435324.582625
2024-05-10,2533866312.0174026
2024-05-11,2453630328.382651
2024-05-12,2480765976.0761704
2024-05-13,2488253939.0917068
2024-05-14,2473359287.015592
2024-05-15,2479021887.32615
2024-05-16,2566140330.284867
2024-05-17,2582856644.477401
2024-05-18,2672590428.1421413
2024-05-19,2663574740.13671
2024-05-20,2668356497.235863
2024-05-21,2956794828.475432
2024-05-22,2970383654.6946983
2024-05-23,3032650286.6466775
2024-05-24,2966961301.543141
2024-05-25,3033129477.625059
2024-05-26,3047790129.4706817
2024-05-27,3088067988.3561025
2024-05-28,3052006576.8922434
2024-05-29,3053275482.6484194
2024-05-30,3023309598.944028
2024-05-31,3055631658.4975033
2024-06-01,3060031294.96884
2024-06-02,3058609326.2092886
2024-06-03,3081220583.4940987
2024-06-04,3042162830.700161
2024-06-05,3121868710.9984975
2024-06-06,3147617188.9115705
2024-06-07,3133902613.8685184
2024-06-08,3076182337.8633447
2024-06-09,3062797480.407234
2024-06-10,3053286695.5885997
2024-06-11,2969686957.9946895
2024-06-12,2943621020.9996195
2024-06-13,2933071787.3464046
2024-06-14,2956538401.2479515
2024-06-15,2947780714.4478135
2024-06-16,2975788632.0748262
2024-06-17,2943338035.9669447
2024-06-18,2872419254.5614796
2024-06-19,2946591692.7964325
2024-06-20,2962765811.770999
2024-06-21,2882726842.795756
2024-06-22,2842623729.2661443
2024-06-23,2840262664.7454042
2024-06-24,2723934093.4455423
2024-06-25,2752214021.066222
2024-06-26,2719375596.088367
2024-06-27,2710174647.3115807
2024-06-28,2753243267.9683256
2024-06-29,2713016431.6680517
2024-06-30,2740259157.1448636
2024-07-01,2803716303.3188887
2024-07-02,2836537470.033752
2024-07-03,2750698259.053538
2024-07-04,2692082324.9619465
2024-07-05,2532599308.827763
2024-07-06,2635565663.6431737
2024-07-07,2672892743.8900423
2024-07-08,2678224686.2216525
2024-07-09,2734155075.750697
2024-07-10,2752289632.7217574
2024-07-11,2808993324.5002975
2024-07-12,2763059056.6625957
2024-07-13,2851747813.8777885
2024-07-14,2920276938.304152
2024-07-15,2977297004.30961
2024-07-16,3072804673.366939
2024-07-17,3141943716.8592515
2024-07-18,3137607683.3913894
2024-07-19,3113569816.362278
2024-07-20,3235687659.9537897
2024-07-21,3229452439.2850246
2024-07-22,3233279571.6588845
2024-07-23,3238511512.709582
2024-07-24,3231045370.9758177
2024-07-25,3075039351.6155586
2024-07-26,3163863060.8432055
2024-07-27,3189404368.147395
2024-07-28,3176308836.3515325
2024-07-29,3268439290.9233046
2024-07-30,3225191467.190136
2024-07-31,3180818645.2052774
2024-08-01,3096743213.682417
2024-08-02,3089907934.796663
2024-08-03,2972232237.8183894
2024-08-04,2909169605.298477
2024-08-05,2404992631.795289
2024-08-06,2559374838.9806767
2024-08-07,2618138671.4169364
2024-08-08,2586750154.7066774
2024-08-09,2730718939.021744
2024-08-10,2700984735.2618914
2024-08-11,2718916780.0514565
2024-08-12,2666153728.9518876
2024-08-13,2681188141.04548
2024-08-14,2764076357.8654947
2024-08-15,2675855211.6696057
2024-08-16,2673359442.0176196
2024-08-17,2664705813.256752
2024-08-18,2709992187.980514
2024-08-19,2655470181.683612
2024-08-20,2719532460.5689816
2024-08-21,2683943178.843289
2024-08-22,2739012876.9608626
2024-08-23,2763407155.8636694
2024-08-24,2862172506.666133
2024-08-25,2824279501.551452
2024-08-26,2829977492.466681
2024-08-27,2780902742.118765
2024-08-28,2715620936.2957144
2024-08-29,2737778081.154934
2024-08-30,2692448378.15036
2024-08-31,2685621227.9182467
2024-09-01,2663969626.088621
2024-09-02,2761271349.2275534
2024-09-03,2722735711.91186
2024-09-04,2612345606.556557
2024-09-05,2593453277.5844197
2024-09-06,2563592490.2676144
2024-09-07,2515333800.260892
2024-09-08,2527888484.6045346
2024-09-09,2532023212.0499434
2024-09-10,2553402184.507847
2024-09-11,2512852530.9308124
2024-09-12,2538680071.6595163
2024-09-13,2526141689.66024
2024-09-14,2581899408.709249
2024-09-15,2565789464.6124578
2024-09-16,2472296874.8205442
2024-09-17,2471664741.901077
2024-09-18,2459591103.218259
2024-09-19,2516978584.8953276
2024-09-20,2559989747.2097974
2024-09-21,2563277816.718527
