date,fee
2023-10-06,713298
2023-10-07,1196739
2023-10-08,1150420
2023-10-09,427722
2023-10-10,543818
2023-10-11,467161
2023-10-12,590257
2023-10-13,670598
2023-10-14,584493
2023-10-15,355530
2023-10-16,315356
2023-10-17,587785
2023-10-18,554384
2023-10-19,548044
2023-10-20,544761
2023-10-21,586494
2023-10-22,468732
2023-10-23,365660
2023-10-24,590822
2023-10-25,1310595
2023-10-26,1406358
2023-10-27,1004716
2023-10-28,833439
2023-10-29,650641
2023-10-30,474795
2023-10-31,623568
2023-11-01,640094
2023-11-02,779549
2023-11-03,780658
2023-11-04,1187338
2023-11-05,2809478
2023-11-06,2510585
2023-11-07,2610445
2023-11-08,3169918
2023-11-09,4278536
2023-11-10,9153935
2023-11-11,6015960
2023-11-12,4226871
2023-11-13,4312988
2023-11-14,3907212
2023-11-15,3627739
2023-11-16,5168923
2023-11-17,11630638
2023-11-18,8852071
2023-11-19,11559160
2023-11-20,7544295
2023-11-21,6664826
2023-11-22,6116139
2023-11-23,5816557
2023-11-24,8189119
2023-11-25,3644172
2023-11-26,3492283
2023-11-27,3065038
2023-11-28,3364883
2023-11-29,2956563
2023-11-30,2349460
2023-12-01,2748447
2023-12-02,3772465
2023-12-03,2554081
2023-12-04,5644492
2023-12-05,6382363
2023-12-06,10831897
2023-12-07,12573927
2023-12-08,7386563
2023-12-09,6782017
2023-12-10,6223744
2023-12-11,4809612
2023-12-12,5663398
2023-12-13,4802078
2023-12-14,8604239
2023-12-15,14659410
2023-12-16,17387147
2023-12-17,24011359
2023-12-18,22509832
2023-12-19,17149480
2023-12-20,18001987
2023-12-21,18682329
2023-12-22,17805851
2023-12-23,13953430
2023-12-24,8873173
2023-12-25,7654914
2023-12-26,7385372
2023-12-27,7141729
2023-12-28,11945370
2023-12-29,9755000
2023-12-30,8941703
2023-12-31,11095437
2024-01-01,15219780
2024-01-02,9362935
2024-01-03,6292372
2024-01-04,6266390
2024-01-05,5647474
2024-01-06,5169554
2024-01-07,3766765
2024-01-08,3339226
2024-01-09,6019963
2024-01-10,5093776
2024-01-11,3876981
2024-01-12,4752353
2024-01-13,4552541
2024-01-14,5664919
2024-01-15,9215825
2024-01-16,4817178
2024-01-17,5462215
2024-01-18,4435309
2024-01-19,4974778
2024-01-20,3486535
2024-01-21,2977037
2024-01-22,3020754
2024-01-23,2974031
2024-01-24,3558620
2024-01-25,2413078
2024-01-26,2576633
2024-01-27,2321676
2024-01-28,2469648
2024-01-29,2379120
2024-01-30,2411832
2024-01-31,2227788
2024-02-01,2161082
2024-02-02,2452187
2024-02-03,2866247
2024-02-04,7737955
2024-02-05,4124978
2024-02-06,2769261
2024-02-07,2277172
2024-02-08,3267514
2024-02-09,2424055
2024-02-10,2559406
2024-02-11,1985608
2024-02-12,1378199
2024-02-13,3414988
2024-02-14,2389656
2024-02-15,2779649
2024-02-16,2009473
2024-02-17,1713853
2024-02-18,1506234
2024-02-19,1299936
2024-02-20,1527368
2024-02-21,1692167
2024-02-22,1633345
2024-02-23,1547375
2024-02-24,1346324
2024-02-25,1245121
2024-02-26,1805615
2024-02-27,2773944
2024-02-28,3799812
2024-02-29,4582502
2024-03-01,3655582
2024-03-02,2610188
2024-03-03,2989704
2024-03-04,5745580
2024-03-05,6461507
2024-03-06,4407632
2024-03-07,3493162
2024-03-08,3262748
2024-03-09,2793300
2024-03-10,2502768
2024-03-11,2993747
2024-03-12,2739309
2024-03-13,2577855
2024-03-14,2465911
2024-03-15,2568791
2024-03-16,2463041
2024-03-17,1726975
2024-03-18,2888783
2024-03-19,2828246
2024-03-20,2236258
2024-03-21,2529264
2024-03-22,2382598
2024-03-23,1530342
2024-03-24,1430050
2024-03-25,1985051
2024-03-26,2223668
2024-03-27,2083613
2024-03-28,2159080
2024-03-29,2041156
2024-03-30,2063484
2024-03-31,2025008
2024-04-01,1894405
2024-04-02,1456271
2024-04-03,1845611
2024-04-04,1579345
2024-04-05,1390620
2024-04-06,1239786
2024-04-07,1496892
2024-04-08,2438382
2024-04-09,3225493
2024-04-10,5026006
2024-04-11,7653883
2024-04-12,10296714
2024-04-13,6919087
2024-04-14,4791253
2024-04-15,9982716
2024-04-16,5916427
2024-04-17,7472410
2024-04-18,6806387
2024-04-19,11469404
2024-04-20,78309324
2024-04-21,21798782
2024-04-22,17011325
2024-04-23,29555303
2024-04-24,16052407
2024-04-25,7089317
2024-04-26,5799015
2024-04-27,3958808
2024-04-28,3315105
2024-04-29,2895937
2024-04-30,2732437
2024-05-01,2204640
2024-05-02,2063219
2024-05-03,2181839
2024-05-04,2977986
2024-05-05,7905684
2024-05-06,2565591
2024-05-07,2241177
2024-05-08,1831864
2024-05-09,1911097
2024-05-10,1925484
2024-05-11,2210868
2024-05-12,1337224
2024-05-13,1670918
2024-05-14,1342134
2024-05-15,1499267
2024-05-16,1473198
2024-05-17,1447241
2024-05-18,1191119
2024-05-19,1084583
2024-05-20,1265078
2024-05-21,2001241
2024-05-22,1470202
2024-05-23,2025298
2024-05-24,1598358
2024-05-25,1452109
2024-05-26,1331887
2024-05-27,1560834
2024-05-28,1217234
2024-05-29,2682370
2024-05-30,2655226
2024-05-31,4588722
2024-06-01,2978584
2024-06-02,2351199
2024-06-03,3036454
2024-06-04,2494803
2024-06-05,4129048
2024-06-06,4589980
2024-06-07,22376285
2024-06-08,10134322
2024-06-09,5084984
2024-06-10,4572337
2024-06-11,2927842
2024-06-12,3230732
2024-06-13,3800292
2024-06-14,3491981
2024-06-15,2931019
2024-06-16,2436167
2024-06-17,1903913
2024-06-18,2350104
2024-06-19,2158731
2024-06-20,2018776
2024-06-21,1767476
2024-06-22,1336548
2024-06-23,925809
2024-06-24,1184895
2024-06-25,1483200
2024-06-26,1171437
2024-06-27,1134453
2024-06-28,1079059
2024-06-29,976634
2024-06-30,845778
2024-07-01,1161843
2024-07-02,1116879
2024-07-03,914974
2024-07-04,971425
2024-07-05,837818
2024-07-06,894448
2024-07-07,712353
2024-07-08,814906
2024-07-09,771501
2024-07-10,937150
2024-07-11,698714
2024-07-12,714187
2024-07-13,1162217
2024-07-14,794380
2024-07-15,863116
2024-07-16,794965
2024-07-17,901195
2024-07-18,642751
2024-07-19,816376
2024-07-20,670809
2024-07-21,705725
2024-07-22,892350
2024-07-23,745918
2024-07-24,665626
2024-07-25,704610
2024-07-26,711969
2024-07-27,688576
2024-07-28,554206
2024-07-29,727203
2024-07-30,647807
2024-07-31,682279
2024-08-01,613968
2024-08-02,552436
2024-08-03,488141
2024-08-04,421300
2024-08-05,516562
2024-08-06,448104
2024-08-07,430978
2024-08-08,567948
2024-08-09,528646
2024-08-10,393461
2024-08-11,387624
2024-08-12,497691
2024-08-13,485268
2024-08-14,466804
2024-08-15,497392
2024-08-16,518213
2024-08-17,431928
2024-08-18,434345
2024-08-19,542845
2024-08-20,570207
2024-08-21,521682
2024-08-22,6061956
2024-08-23,620868
2024-08-24,476271
2024-08-25,458385
2024-08-26,530157
2024-08-27,463153
2024-08-28,457703
2024-08-29,486405
2024-08-30,470496
2024-08-31,378397
2024-09-01,366052
2024-09-02,454974
2024-09-03,485803
2024-09-04,449699
2024-09-05,607137
2024-09-06,408872
2024-09-07,349644
2024-09-08,347377
2024-09-09,394934
2024-09-10,409196
2024-09-11,378440
2024-09-12,482791
2024-09-13,455858
2024-09-14,406386
2024-09-15,358375
2024-09-16,395230
2024-09-17,485333
2024-09-18,436163
2024-09-19,630198
2024-09-20,604515
2024-09-21,373589
2024-09-22,334981
2024-09-23,496400
2024-09-24,445035
2024-09-25,417944
2024-09-26,570559
2024-09-27,721523
2024-09-28,654144
2024-09-29,493733
2024-09-30,468099
2024-10-01,481530
2024-10-02,413123
2024-10-03,462284
2024-10-04,457174
2024-10-05,743642
2024-10-06,620999
2024-10-07,950357
2024-10-08,899805
2024-10-09,913683
2024-10-10,1531387
2024-10-11,2861721
2024-10-12,2808071
2024-10-13,1535243
2024-10-14,1711479
2024-10-15,1728178
2024-10-16,4193865
2024-10-17,3392642
2024-10-18,1692987
2024-10-19,1054038
2024-10-20,936287
2024-10-21,1218061
2024-10-22,1737022
2024-10-23,1582617
2024-10-24,3359311
2024-10-25,2303958
2024-10-26,689837
2024-10-27,559100
2024-10-28,522082
2024-10-29,838830
2024-10-30,696001
2024-10-31,4616695
2024-11-01,591449
2024-11-02,485978
2024-11-03,363246
2024-11-04,445266
2024-11-05,442419
2024-11-06,634308
2024-11-07,524024
2024-11-08,601393
2024-11-09,1045990
2024-11-10,836533
2024-11-11,1452410
2024-11-12,1727101
2024-11-13,2079292
2024-11-14,2170789
2024-11-15,3740148
2024-11-16,1612780
2024-11-17,871052
2024-11-18,1583372
2024-11-19,2344794
2024-11-20,2061829
2024-11-21,2108743
2024-11-22,1925590
2024-11-23,1309826
2024-11-24,900526
2024-11-25,1087746
2024-11-26,1587914
2024-11-27,954285
2024-11-28,1342449
2024-11-29,1272201
2024-11-30,962910
2024-12-01,2078134
2024-12-02,1752240
2024-12-03,1475504
2024-12-04,1167154
2024-12-05,1400077
2024-12-06,1548045
2024-12-07,1796963
2024-12-08,1534694
2024-12-09,1538711
2024-12-10,1561826
2024-12-11,1940405
2024-12-12,1936983
2024-12-13,1476014
2024-12-14,1211647
2024-12-15,994186
2024-12-16,1394094
2024-12-17,1398178
2024-12-18,1403508
2024-12-19,2264233
2024-12-20,1535091
2024-12-21,1071387
2024-12-22,812072
2024-12-23,1076940
2024-12-24,959510
2024-12-25,779976
2024-12-26,759664
2024-12-27,671344
2024-12-28,553337
2024-12-29,645345
2024-12-30,659067
2024-12-31,587332
2025-01-01,453043
2025-01-02,567568
2025-01-03,618899
2025-01-04,615927
2025-01-05,599530
2025-01-06,708291
2025-01-07,703423
2025-01-08,749730
2025-01-09,733149
2025-01-10,756636
2025-01-11,562796
2025-01-12,480774
2025-01-13,780795
2025-01-14,672955
2025-01-15,815696
2025-01-16,837608
2025-01-17,982919
2025-01-18,687488
2025-01-19,695155
2025-01-20,1366276
2025-01-21,1125752
2025-01-22,863036
2025-01-23,760402
2025-01-24,822923
2025-01-25,642819
2025-01-26,491937
2025-01-27,680095
2025-01-28,531295
2025-01-29,516178
2025-01-30,578655
2025-01-31,569822
2025-02-01,563583
2025-02-02,585324
2025-02-03,715331
2025-02-04,715309
