date,fee
2024-05-16,995171
2024-05-17,931710
2024-05-18,606929
2024-05-19,649251
2024-05-20,1008196
2024-05-21,1395368
2024-05-22,1383394
2024-05-23,1760700
2024-05-24,1297282
2024-05-25,639547
2024-05-26,1486287
2024-05-27,1340148
2024-05-28,911694
2024-05-29,1017830
2024-05-30,1208742
2024-05-31,1216842
2024-06-01,907159
2024-06-02,975835
2024-06-03,1280674
2024-06-04,1011883
2024-06-05,753644
2024-06-06,1245800
2024-06-07,1497497
2024-06-08,994643
2024-06-09,1028488
2024-06-10,1353230
2024-06-11,1376325
2024-06-12,1430397
2024-06-13,1795604
2024-06-14,1107293
2024-06-15,826468
2024-06-16,778284
2024-06-17,1029740
2024-06-18,895015
2024-06-19,927952
2024-06-20,1157665
2024-06-21,748444
2024-06-22,695014
2024-06-23,512771
2024-06-24,987613
2024-06-25,934792
2024-06-26,865554
2024-06-27,788881
2024-06-28,702297
2024-06-29,581336
2024-06-30,466448
2024-07-01,1047946
2024-07-02,533367
2024-07-03,577665
2024-07-04,681381
2024-07-05,947429
2024-07-06,909655
2024-07-07,440278
2024-07-08,731115
2024-07-09,593612
2024-07-10,649740
2024-07-11,702043
2024-07-12,483231
2024-07-13,390505
2024-07-14,562810
2024-07-15,824131
2024-07-16,892502
2024-07-17,806779
2024-07-18,1080505
2024-07-19,1152285
2024-07-20,1055130
2024-07-21,951670
2024-07-22,1025687
2024-07-23,922996
2024-07-24,787313
2024-07-25,1024400
2024-07-26,756971
2024-07-27,611349
2024-07-28,590844
2024-07-29,986424
2024-07-30,704678
2024-07-31,650292
2024-08-01,753261
2024-08-02,793186
2024-08-03,606175
2024-08-04,690932
2024-08-05,2159282
2024-08-06,1172725
2024-08-07,678178
2024-08-08,763391
2024-08-09,554298
2024-08-10,404191
2024-08-11,499048
2024-08-12,855822
2024-08-13,580731
2024-08-14,569066
2024-08-15,572195
2024-08-16,499585
2024-08-17,357172
2024-08-18,295000
2024-08-19,409156
2024-08-20,560005
2024-08-21,499285
2024-08-22,525636
2024-08-23,546575
2024-08-24,551058
2024-08-25,405910
2024-08-26,461926
2024-08-27,539246
2024-08-28,674455
2024-08-29,527279
2024-08-30,529149
2024-08-31,319534
2024-09-01,451883
2024-09-02,425975
2024-09-03,430899
2024-09-04,560259
2024-09-05,741993
2024-09-06,589169
2024-09-07,386805
