date,fee
2023-09-26,289663
2023-09-27,310467
2023-09-28,346762
2023-09-29,291990
2023-09-30,217359
2023-10-01,350523
2023-10-02,262041
2023-10-03,246298
2023-10-04,283427
2023-10-05,272590
2023-10-06,302235
2023-10-07,227702
2023-10-08,197233
2023-10-09,293510
2023-10-10,239902
2023-10-11,286623
2023-10-12,287718
2023-10-13,289988
2023-10-14,206172
2023-10-15,216953
2023-10-16,348435
2023-10-17,247239
2023-10-18,272220
2023-10-19,276609
2023-10-20,284772
2023-10-21,357575
2023-10-22,457912
2023-10-23,486717
2023-10-24,459840
2023-10-25,361300
2023-10-26,309808
2023-10-27,228748
2023-10-28,152677
2023-10-29,209100
2023-10-30,183336
2023-10-31,218351
2023-11-01,283212
2023-11-02,342755
2023-11-03,293161
2023-11-04,266962
2023-11-05,334249
2023-11-06,444071
2023-11-07,476655
2023-11-08,399052
2023-11-09,663783
2023-11-10,470192
2023-11-11,318768
2023-11-12,391708
2023-11-13,626556
2023-11-14,719033
2023-11-15,558570
2023-11-16,1094416
2023-11-17,514839
2023-11-18,253512
2023-11-19,207466
2023-11-20,342122
2023-11-21,390298
2023-11-22,298490
2023-11-23,269855
2023-11-24,504706
2023-11-25,198662
2023-11-26,263492
2023-11-27,199878
2023-11-28,195439
2023-11-29,318138
2023-11-30,370685
2023-12-01,282101
2023-12-02,327832
2023-12-03,205380
2023-12-04,567049
2023-12-05,378480
2023-12-06,417524
2023-12-07,430679
2023-12-08,627137
2023-12-09,399639
2023-12-10,397324
2023-12-11,627008
2023-12-12,413802
2023-12-13,484863
2023-12-14,399708
2023-12-15,319571
2023-12-16,414582
2023-12-17,411016
2023-12-18,401341
2023-12-19,459621
2023-12-20,605474
2023-12-21,5652070
2023-12-22,501917
2023-12-23,375789
2023-12-24,450533
2023-12-25,532334
2023-12-26,682387
2023-12-27,828607
2023-12-28,648978
2023-12-29,514650
2023-12-30,407416
2023-12-31,364205
2024-01-01,321080
2024-01-02,424895
2024-01-03,666237
2024-01-04,294136
2024-01-05,362402
2024-01-06,281755
2024-01-07,377485
2024-01-08,359771
2024-01-09,618427
2024-01-10,471264
2024-01-11,533251
2024-01-12,388305
2024-01-13,314292
2024-01-14,193771
2024-01-15,302234
2024-01-16,296676
2024-01-17,307247
2024-01-18,359085
2024-01-19,468258
2024-01-20,194011
2024-01-21,159420
2024-01-22,312327
2024-01-23,318331
2024-01-24,239712
2024-01-25,229421
2024-01-26,216975
2024-01-27,287471
2024-01-28,192582
2024-01-29,194288
2024-01-30,178117
2024-01-31,240323
2024-02-01,182978
2024-02-02,182353
2024-02-03,267400
2024-02-04,208862
2024-02-05,181827
2024-02-06,181335
2024-02-07,193523
2024-02-08,230603
2024-02-09,221753
2024-02-10,165475
2024-02-11,156158
2024-02-12,234187
2024-02-13,289658
2024-02-14,261630
2024-02-15,330821
2024-02-16,331394
2024-02-17,201660
2024-02-18,278573
2024-02-19,381964
2024-02-20,448465
2024-02-21,385012
2024-02-22,445768
2024-02-23,362804
2024-02-24,264903
2024-02-25,233509
2024-02-26,397826
2024-02-27,509772
2024-02-28,844552
2024-02-29,996234
2024-03-01,626838
2024-03-02,532572
2024-03-03,519673
2024-03-04,577763
2024-03-05,687415
2024-03-06,1086402
2024-03-07,766963
2024-03-08,496442
2024-03-09,406059
2024-03-10,404494
2024-03-11,585337
2024-03-12,573102
2024-03-13,610798
2024-03-14,612128
2024-03-15,709206
2024-03-16,611081
2024-03-17,475249
2024-03-18,425921
2024-03-19,639418
2024-03-20,560447
2024-03-21,483384
2024-03-22,434236
2024-03-23,290448
2024-03-24,257251
2024-03-25,341715
2024-03-26,409092
2024-03-27,403987
2024-03-28,402066
2024-03-29,330315
2024-03-30,335058
2024-03-31,314461
2024-04-01,455008
2024-04-02,446342
2024-04-03,420419
2024-04-04,392104
2024-04-05,398215
2024-04-06,284621
2024-04-07,270629
2024-04-08,397811
2024-04-09,360716
2024-04-10,320769
2024-04-11,370377
2024-04-12,552583
2024-04-13,757610
2024-04-14,569563
2024-04-15,424348
2024-04-16,479748
2024-04-17,432889
2024-04-18,335650
2024-04-19,349875
2024-04-20,314336
2024-04-21,212927
2024-04-22,314487
2024-04-23,212446
2024-04-24,301390
2024-04-25,252862
2024-04-26,252606
2024-04-27,255982
2024-04-28,198843
2024-04-29,206453
2024-04-30,229967
2024-05-01,292998
2024-05-02,230352
2024-05-03,166189
2024-05-04,170760
2024-05-05,180052
2024-05-06,194174
2024-05-07,141068
2024-05-08,162181
2024-05-09,131151
2024-05-10,154025
2024-05-11,119947
2024-05-12,604510
2024-05-13,169759
2024-05-14,156729
2024-05-15,168517
2024-05-16,193263
2024-05-17,216087
