date,fee
2022-11-14,2023347
2022-11-15,2009030
2022-11-16,1947711
2022-11-17,1795022
2022-11-18,1570598
2022-11-19,1704806
2022-11-20,1690096
2022-11-21,1813619
2022-11-22,1562242
2022-11-23,1278934
2022-11-24,1645795
2022-11-25,1578889
2022-11-26,1604124
2022-11-27,1550817
2022-11-28,1638960
2022-11-29,1569255
2022-11-30,1713744
2022-12-01,1811626
2022-12-02,2238314
2022-12-03,1177635
2022-12-04,1454551
2022-12-05,1461165
2022-12-06,1467698
2022-12-07,1461369
2022-12-08,1467979
2022-12-09,1449523
2022-12-10,1277918
2022-12-11,1200163
2022-12-12,1346042
2022-12-13,1744356
2022-12-14,1506830
2022-12-15,1394906
2022-12-16,1089135
2022-12-17,1381373
2022-12-18,1125549
2022-12-19,1170743
2022-12-20,1097360
2022-12-21,1087307
2022-12-22,1114462
2022-12-23,1018170
2022-12-24,944682
2022-12-25,941894
2022-12-26,946769
2022-12-27,956857
2022-12-28,1028931
2022-12-29,1059047
2022-12-30,1134886
2022-12-31,1102125
2023-01-01,957890
2023-01-02,986462
2023-01-03,1026540
2023-01-04,1144593
2023-01-05,1094135
2023-01-06,1142844
2023-01-07,1065446
2023-01-08,1124967
2023-01-09,1410166
2023-01-10,1344361
2023-01-11,1287147
2023-01-12,1553281
2023-01-13,1454775
2023-01-14,1756406
2023-01-15,1552954
2023-01-16,1542103
2023-01-17,1455766
2023-01-18,1657739
2023-01-19,1396565
2023-01-20,2126293
2023-01-21,1770036
2023-01-22,1673002
2023-01-23,1374169
2023-01-24,1515364
2023-01-25,1529100
2023-01-26,1478036
2023-01-27,1562769
2023-01-28,1427705
2023-01-29,1777543
2023-01-30,2073353
2023-01-31,2060500
2023-02-01,2042655
2023-02-02,2339492
2023-02-03,2286056
2023-02-04,2131470
2023-02-05,2078145
2023-02-06,2044685
2023-02-07,2237647
2023-02-08,2202749
2023-02-09,2415847
2023-02-10,2124582
2023-02-11,1820767
2023-02-12,1880540
2023-02-13,2704452
2023-02-14,2026606
2023-02-15,2052688
2023-02-16,2482362
2023-02-17,2270877
2023-02-18,2034130
2023-02-19,1985139
2023-02-20,2303233
2023-02-21,2222978
2023-02-22,2175720
2023-02-23,2106742
2023-02-24,2086533
2023-02-25,1783394
2023-02-26,1853233
2023-02-27,2025987
2023-02-28,2271528
2023-03-01,2187031
2023-03-02,2039872
2023-03-03,2005291
2023-03-04,1626442
2023-03-05,1530246
2023-03-06,1624550
2023-03-07,1800337
2023-03-08,1787718
2023-03-09,1814153
2023-03-10,2170644
2023-03-11,2978803
2023-03-12,1886266
2023-03-13,2366935
2023-03-14,2370014
2023-03-15,2197410
2023-03-16,2315869
2023-03-17,2488843
2023-03-18,2210508
2023-03-19,1958612
2023-03-20,2147599
2023-03-21,2242236
2023-03-22,2435909
2023-03-23,2077044
2023-03-24,2066478
2023-03-25,1826375
2023-03-26,1635485
2023-03-27,1944183
2023-03-28,1917261
2023-03-29,1940348
2023-03-30,1975011
2023-03-31,1942124
2023-04-01,1794869
2023-04-02,1783235
2023-04-03,2183121
2023-04-04,2066787
2023-04-05,2042307
2023-04-06,2008751
2023-04-07,1799606
2023-04-08,1416557
2023-04-09,1815168
2023-04-10,2114463
2023-04-11,2118856
2023-04-12,2184320
2023-04-13,2311200
2023-04-14,2492512
2023-04-15,1973996
2023-04-16,2192680
2023-04-17,2327132
2023-04-18,2346938
2023-04-19,2613762
2023-04-20,2312515
2023-04-21,2531521
2023-04-22,1860754
2023-04-23,1995829
2023-04-24,2353397
2023-04-25,2742639
2023-04-26,2839966
2023-04-27,2686188
2023-04-28,2447775
2023-04-29,2037556
2023-04-30,2117233
2023-05-01,2434553
2023-05-02,2144751
2023-05-03,2768547
2023-05-04,2002311
2023-05-05,2649685
2023-05-06,2522820
2023-05-07,2359164
2023-05-08,3191591
2023-05-09,2591660
2023-05-10,3253617
2023-05-11,3040255
2023-05-12,3618410
2023-05-13,2283308
2023-05-14,2314263
2023-05-15,2640243
2023-05-16,2826270
2023-05-17,3098949
2023-05-18,2653042
2023-05-19,1868965
2023-05-20,2256251
2023-05-21,1840862
2023-05-22,6414694
2023-05-23,2842701
2023-05-24,2421477
2023-05-25,2194140
2023-05-26,1888063
2023-05-27,1729086
2023-05-28,2031873
2023-05-29,2253359
2023-05-30,1838925
2023-05-31,1901076
2023-06-01,1671300
2023-06-02,1868483
2023-06-03,1604660
2023-06-04,1897542
2023-06-05,2623101
2023-06-06,2249760
2023-06-07,1920447
2023-06-08,1590690
2023-06-09,1495641
2023-06-10,2147112
2023-06-11,1355176
2023-06-12,1624915
2023-06-13,1921085
2023-06-14,1676676
2023-06-15,1821316
2023-06-16,1450331
2023-06-17,1194351
2023-06-18,1107494
2023-06-19,1218925
2023-06-20,1388448
2023-06-21,2054280
2023-06-22,1577555
2023-06-23,1658515
2023-06-24,1319941
2023-06-25,1316387
2023-06-26,1350093
