date,fee
2023-11-03,170835
2023-11-04,193047
2023-11-05,171627
2023-11-06,204617
2023-11-07,223218
2023-11-08,332567
2023-11-09,278312
2023-11-10,200342
2023-11-11,204940
2023-11-12,149739
2023-11-13,155727
2023-11-14,207412
2023-11-15,216808
2023-11-16,253697
2023-11-17,199784
2023-11-18,568666
2023-11-19,719213
2023-11-20,635107
2023-11-21,300856
2023-11-22,411786
2023-11-23,180196
2023-11-24,168981
2023-11-25,198900
2023-11-26,178297
2023-11-27,166709
2023-11-28,139346
2023-11-29,139254
2023-11-30,210840
2023-12-01,160560
2023-12-02,151380
2023-12-03,127096
2023-12-04,189667
2023-12-05,235244
2023-12-06,165686
2023-12-07,212733
2023-12-08,216898
2023-12-09,218822
2023-12-10,350858
2023-12-11,177905
2023-12-12,169090
2023-12-13,214587
2023-12-14,250772
2023-12-15,311457
2023-12-16,295025
2023-12-17,170972
2023-12-18,185659
2023-12-19,202036
2023-12-20,180500
2023-12-21,183195
2023-12-22,181297
2023-12-23,293234
2023-12-24,180620
2023-12-25,123006
2023-12-26,126242
2023-12-27,177610
2023-12-28,161500
2023-12-29,175455
2023-12-30,323330
2023-12-31,210848
2024-01-01,101983
2024-01-02,144292
2024-01-03,180217
2024-01-04,128618
2024-01-05,150577
2024-01-06,111527
2024-01-07,103954
2024-01-08,137305
2024-01-09,152131
2024-01-10,204568
2024-01-11,168088
2024-01-12,155437
2024-01-13,110390
2024-01-14,113440
2024-01-15,95764
2024-01-16,109862
2024-01-17,152075
2024-01-18,121900
2024-01-19,121569
2024-01-20,104781
2024-01-21,90718
2024-01-22,115600
2024-01-23,216819
2024-01-24,83390
2024-01-25,218969
2024-01-26,121503
2024-01-27,163308
2024-01-28,103926
2024-01-29,132306
2024-01-30,155754
2024-01-31,143631
2024-02-01,165986
2024-02-02,134547
2024-02-03,253116
2024-02-04,450107
2024-02-05,382826
2024-02-06,331265
2024-02-07,424940
2024-02-08,518903
2024-02-09,518863
2024-02-10,314471
2024-02-11,267244
2024-02-12,282535
2024-02-13,268745
2024-02-14,229029
2024-02-15,272510
2024-02-16,313209
2024-02-17,267236
2024-02-18,363662
2024-02-19,300285
2024-02-20,391485
2024-02-21,295867
2024-02-22,291690
2024-02-23,227657
2024-02-24,251470
2024-02-25,305857
2024-02-26,326258
2024-02-27,622172
2024-02-28,686039
2024-02-29,687229
2024-03-01,781908
2024-03-02,572910
2024-03-03,1396275
2024-03-04,960785
2024-03-05,1270361
2024-03-06,1185109
2024-03-07,1193702
2024-03-08,1221253
2024-03-09,674988
2024-03-10,799836
2024-03-11,942722
2024-03-12,686596
2024-03-13,853365
2024-03-14,1104839
2024-03-15,944185
2024-03-16,748346
2024-03-17,647421
2024-03-18,793994
2024-03-19,841426
2024-03-20,3622739
2024-03-21,3480110
2024-03-22,1506246
2024-03-23,1913844
2024-03-24,1809940
2024-03-25,3358863
2024-03-26,6427627
2024-03-27,5393445
2024-03-28,4427963
2024-03-29,5165657
2024-03-30,6242311
2024-03-31,4664725
2024-04-01,4540994
2024-04-02,3341495
2024-04-03,3110603
2024-04-04,2114660
2024-04-05,2023338
2024-04-06,1858714
2024-04-07,2246261
2024-04-08,3738224
2024-04-09,2890226
2024-04-10,2444281
2024-04-11,2597358
2024-04-12,2475470
2024-04-13,2211420
2024-04-14,1410935
2024-04-15,1664298
2024-04-16,1500971
2024-04-17,1488303
2024-04-18,1396601
2024-04-19,1416899
2024-04-20,1054714
2024-04-21,1057118
2024-04-22,1184621
2024-04-23,1153086
2024-04-24,1402405
2024-04-25,1470303
2024-04-26,1591673
2024-04-27,1669157
2024-04-28,1576822
2024-04-29,1007945
2024-04-30,1219069
2024-05-01,1345943
2024-05-02,1417324
2024-05-03,2591972
2024-05-04,1609352
2024-05-05,911229
2024-05-06,1598517
2024-05-07,1314479
2024-05-08,1156620
2024-05-09,1211773
2024-05-10,1191848
2024-05-11,970789
2024-05-12,630539
2024-05-13,875333
2024-05-14,865811
2024-05-15,793810
2024-05-16,994532
2024-05-17,931461
2024-05-18,606763
2024-05-19,649150
2024-05-20,1007718
2024-05-21,1395020
2024-05-22,1382963
2024-05-23,1715742
2024-05-24,1296849
2024-05-25,639327
2024-05-26,1486082
2024-05-27,1339795
2024-05-28,911548
2024-05-29,1017502
2024-05-30,1208585
2024-05-31,1207547
2024-06-01,895777
2024-06-02,975740
2024-06-03,1280200
2024-06-04,1007760
2024-06-05,753390
2024-06-06,1245430
2024-06-07,1496382
2024-06-08,994462
2024-06-09,1028155
2024-06-10,1352889
2024-06-11,1375762
2024-06-12,1430150
2024-06-13,1755678
2024-06-14,1107078
2024-06-15,826287
2024-06-16,778190
2024-06-17,1029478
2024-06-18,894216
2024-06-19,927798
2024-06-20,1157322
2024-06-21,748246
2024-06-22,694756
2024-06-23,512659
2024-06-24,987282
2024-06-25,913315
2024-06-26,840975
2024-06-27,788686
2024-06-28,702098
2024-06-29,581136
2024-06-30,452469
2024-07-01,1047776
2024-07-02,533067
2024-07-03,577261
2024-07-04,680503
2024-07-05,946061
2024-07-06,909326
2024-07-07,440138
2024-07-08,730964
2024-07-09,593268
2024-07-10,638326
2024-07-11,682716
2024-07-12,482776
2024-07-13,390031
2024-07-14,562260
2024-07-15,823589
2024-07-16,891618
2024-07-17,805608
2024-07-18,1080036
2024-07-19,1129731
2024-07-20,1027188
2024-07-21,951192
2024-07-22,1024976
2024-07-23,922285
2024-07-24,786686
2024-07-25,1024212
2024-07-26,756859
2024-07-27,611229
2024-07-28,590724
2024-07-29,986261
2024-07-30,704510
2024-07-31,639245
2024-08-01,737879
2024-08-02,792921
2024-08-03,605696
2024-08-04,690559
2024-08-05,2158265
2024-08-06,1172618
2024-08-07,678107
2024-08-08,743778
2024-08-09,554173
2024-08-10,403653
2024-08-11,498878
2024-08-12,855656
2024-08-13,580584
2024-08-14,568957
2024-08-15,572061
2024-08-16,499513
2024-08-17,353598
2024-08-18,294756
2024-08-19,403560
2024-08-20,559928
2024-08-21,499255
2024-08-22,525567
2024-08-23,546395
2024-08-24,550919
2024-08-25,405836
2024-08-26,461798
2024-08-27,539107
2024-08-28,674275
2024-08-29,527158
2024-08-30,528967
2024-08-31,319461
2024-09-01,451674
2024-09-02,421096
2024-09-03,424151
2024-09-04,560109
2024-09-05,741824
2024-09-06,588440
2024-09-07,386715
2024-09-08,324889
2024-09-09,499301
2024-09-10,430268
2024-09-11,479338
2024-09-12,499361
2024-09-13,473870
2024-09-14,306898
2024-09-15,342211
2024-09-16,463761
2024-09-17,445272
2024-09-18,482449
2024-09-19,563633
2024-09-20,596869
2024-09-21,431844
2024-09-22,385333
2024-09-23,433823
2024-09-24,579015
2024-09-25,472311
2024-09-26,551548
2024-09-27,622045
2024-09-28,454962
2024-09-29,457825
2024-09-30,589052
2024-10-01,744115
2024-10-02,888531
2024-10-03,717988
2024-10-04,703038
2024-10-05,408931
2024-10-06,501822
