address,from_count,to_count,total_value_count,is_in_top_accounts,name_tag
0xba55bdbf959df826da6c35487eb15fad2164662d,1,0,1,False,윤석열.eth
0xba57a914b20840c2b0df8f4152cca2e4960beff1,0,2,2,False,Address
0xbbcfc7c57a3973f54cf173fdac6c0e8ef791c763,17,0,17,False,onchaingroyper.eth
0xc0f47e54584bd246e3576d4c428d4a4bd670155a,2,0,2,False,Uniswap V2: TOGETHER AI
0xcc48e1a34658c238d0f6b55b7f2bfe694a97e6f0,2,0,2,False,uzay.eth
0xcee7557702b3e4b72dad6cd93adc51b3c2b34766,1,0,1,False,limies.eth
0xd250b4888433cc080f510f243b24aea2413e89ef,0,1,1,False,Address
0xdcae87821fa6caea05dbc2811126f4bc7ff73bd1,1,0,1,False,osf.eth
0xdd3952b52108107ed6ffb9036deb81d1126c290e,1,0,1,False,Address
0xde88d5a79e7e3266d6f07d1388fc081d243276ec,1,0,1,False,Address
0xdf4c9370d10b811351a269819c2a79209dc5f7eb,0,1,1,False,Address
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,2,0,2,False,Binance 16
0xe217e15b3c19cc0427f9492dc3bcfe8220afad10,4594,1,4595,False,TransparentUpgradeableProxy
0xe60ee6c319c4103b9957eea086128dea5d508558,1,0,1,False,Address
0xe84b82dd8e1025e2594e7143e69dff1ccde8898b,1,0,1,False,Address
0xea6ed12e759a70fc9d19bf3dab49c8648ad921f7,1,0,1,False,Address
0xed1b00895c5db8ac09e2e94267819ed2f1ae06fb,0,2,2,False,Address
0xee7f7f53f0d0c8c56a38e97c5a58e4d321a174dc,0,2,2,False,GnosisSafeProxy
0xf2d50ad267bd30b0be4d2f12dc521e831f4d3ee1,5,0,5,False,Address
0xf32e3596f555546acc4ad6ef67e1abf36b134748,0,2,2,False,GnosisSafeProxy
0xf7c9c6bfc102e09a64c6b2248c3d4cb8e01360aa,0,2,2,False,Address
0xfb0be50c853429d43a691429dbe759da4c0e59d3,1,0,1,False,Address
0xfd9ef7202aff0985a7992c40c92fd164753639e9,1,0,1,False,Address
