Band,ETH_Amount,Band_Value,Open_Price,Close_Price,PnL
Eighteenth Band,11483.60692519161,35.815065373372995,3119.9999999833735,3108.339000382059,1087281691.9103665
Fifteenth Band,12222.545897105656,35.69926411544301,2906.941447223925,3033.0121771737745,1159665724.62149
Fourteenth Band,1125.4233925453489,2.7346689637890007,2430.686710990476,2425.9731361295453,-107331738.82714611
Seventeenth Band,23421.758384915356,76.00469725446099,3340.128134208141,3179.9999999998763,-86529916.91359992
Unassigned Band,47045.993647493015,176.79295204977302,2575.9050679716256,3512.6748472785666,-2732488743.5627766
