market,instrument,base_asset,status
binance,ADA-FDUSD,ADAFDUSD,ACTIVE
binance,FORTH-USDT,FORTHUSDT,ACTIVE
binance,ATOM-TRY,ATOMTRY,ACTIVE
binance,AVAX-USDT,AVAXUSDT,ACTIVE
binance,ATOM-BTC,ATOMBTC,ACTIVE
binance,HIVE-BTC,HIVEBTC,ACTIVE
binance,WLD-TRY,WLDTRY,ACTIVE
binance,FIS-BTC,FISBTC,ACTIVE
binance,GNS-USDT,GNSUSDT,ACTIVE
binance,USDT-RON,USDTRON,ACTIVE
binance,HOOK-USDT,HOOKUSDT,ACTIVE
binance,SYS-BTC,SYSBTC,ACTIVE
binance,ACH-TRY,ACHTRY,ACTIVE
binance,YFI-BTC,YFIBTC,ACTIVE
binance,GMT-EUR,GMTEUR,ACTIVE
binance,APT-TRY,APTTRY,ACTIVE
binance,ORDI-TRY,ORDITRY,ACTIVE
binance,MKR-USDT,MKRUSDT,ACTIVE
binance,SOL-USDT,SOLUSDT,ACTIVE
binance,DENT-TRY,DENTTRY,ACTIVE
binance,TWT-TRY,TWTTRY,ACTIVE
binance,ACA-TRY,ACATRY,ACTIVE
binance,RIF-USDT,RIFUSDT,ACTIVE
binance,AUCTION-FDUSD,AUCTIONFDUSD,ACTIVE
binance,BNB-TUSD,BNBTUSD,ACTIVE
binance,INJ-BTC,INJBTC,ACTIVE
binance,AERGO-USDT,AERGOUSDT,ACTIVE
binance,LINK-EUR,LINKEUR,ACTIVE
binance,1000SATS-TRY,1000SATSTRY,ACTIVE
binance,RAY-BNB,RAYBNB,ACTIVE
binance,ALICE-TRY,ALICETRY,ACTIVE
binance,ARK-USDT,ARKUSDT,ACTIVE
binance,AVAX-USDC,AVAXUSDC,ACTIVE
binance,AVAX-BRL,AVAXBRL,ACTIVE
binance,HBAR-TRY,HBARTRY,ACTIVE
binance,ALT-TRY,ALTTRY,ACTIVE
binance,RONIN-BTC,RONINBTC,ACTIVE
binance,POND-BTC,PONDBTC,ACTIVE
binance,BLUR-TRY,BLURTRY,ACTIVE
binance,XLM-ETH,XLMETH,ACTIVE
binance,ETH-PLN,ETHPLN,ACTIVE
