date,volume
2023-11-22,358836
2023-11-23,253126
2023-11-24,233331
2023-11-25,183188
2023-11-26,103389
2023-11-27,986857
2023-11-28,745510
2023-11-29,1233780
2023-11-30,3223461
2023-12-01,1867256
2023-12-02,1284303
2023-12-03,842684
2023-12-04,1442536
2023-12-05,2105140
2023-12-06,905388
2023-12-07,1863436
2023-12-08,698334
2023-12-09,514394
2023-12-10,829489
2023-12-11,283639
2023-12-12,380691
2023-12-13,258142
2023-12-14,212872
2023-12-15,252064
2023-12-16,545048
2023-12-17,417391
2023-12-18,3562065
2023-12-19,279924
2023-12-20,387761
2023-12-21,993680
2023-12-22,1748296
2023-12-23,1512975
2023-12-24,127441
2023-12-25,153724
2023-12-26,1174155
2023-12-27,198599
2023-12-28,592016
2023-12-29,448728
2023-12-30,100474
2023-12-31,397077
2024-01-01,660755
2024-01-02,344832
2024-01-03,197645
2024-01-04,253523
2024-01-05,386290
2024-01-06,212891
2024-01-07,911715
2024-01-08,1416235
2024-01-09,1062451
2024-01-10,783500
2024-01-11,255977
2024-01-12,334966
2024-01-13,123483
2024-01-14,171390
2024-01-15,330544
2024-01-16,262593
2024-01-17,181173
2024-01-18,188499
2024-01-19,510074
2024-01-20,982659
2024-01-21,931448
2024-01-22,248114
2024-01-23,433676
2024-01-24,425954
2024-01-25,222664
2024-01-26,516522
2024-01-27,231916
2024-01-28,231006
2024-01-29,165682
2024-01-30,400585
2024-01-31,758909
2024-02-01,673242
2024-02-02,249653
2024-02-03,556733
2024-02-04,261734
2024-02-05,784264
2024-02-06,734727
2024-02-07,289274
2024-02-08,290176
2024-02-09,326048
2024-02-10,565914
2024-02-11,186346
2024-02-12,50594
2024-02-13,8305
2024-02-14,52731
2024-02-15,72242
2024-02-16,113854
2024-02-17,223296
2024-02-18,373595
2024-02-19,81817
2024-02-20,930283
2024-02-21,509156
2024-02-22,413287
2024-02-23,662732
2024-02-24,1169691
2024-02-25,2584043
2024-02-26,1759237
2024-02-27,1953201
2024-02-28,1107324
2024-02-29,570290
2024-03-01,673900
2024-03-02,799996
2024-03-03,397203
2024-03-04,428403
2024-03-05,1327129
2024-03-06,556098
2024-03-07,548044
2024-03-08,1704531
2024-03-09,351362
2024-03-10,446151
2024-03-11,1875184
2024-03-12,1444183
2024-03-13,1424642
2024-03-14,710931
2024-03-15,1249353
2024-03-16,548184
2024-03-17,1431752
2024-03-18,545003
2024-03-19,506091
2024-03-20,564875
2024-03-21,406888
2024-03-22,338236
2024-03-23,218263
2024-03-24,274538
2024-03-25,395254
2024-03-26,730691
2024-03-27,738505
2024-03-28,660959
2024-03-29,480814
2024-03-30,364810
2024-03-31,560387
2024-04-01,294503
2024-04-02,330759
2024-04-03,440556
2024-04-04,730585
2024-04-05,459171
2024-04-06,158043
2024-04-07,876237
2024-04-08,131740
2024-04-09,1121690
2024-04-10,321752
2024-04-11,184011
2024-04-12,230025
2024-04-13,273804
2024-04-14,320473
2024-04-15,302475
2024-04-16,397018
2024-04-17,371980
2024-04-18,309250
2024-04-19,398932
2024-04-20,125703
2024-04-21,323045
2024-04-22,331067
2024-04-23,351298
2024-04-24,218243
2024-04-25,304246
2024-04-26,402140
2024-04-27,262633
2024-04-28,276272
2024-04-29,808084
2024-04-30,459594
2024-05-01,726714
2024-05-02,327993
2024-05-03,403806
2024-05-04,347067
2024-05-05,723196
2024-05-06,204545
2024-05-07,259849
2024-05-08,992362
2024-05-09,291021
2024-05-10,316437
2024-05-11,95668
2024-05-12,158846
2024-05-13,227873
2024-05-14,243129
2024-05-15,272321
2024-05-16,218484
2024-05-17,607360
2024-05-18,233006
2024-05-19,336539
2024-05-20,230269
2024-05-21,377328
2024-05-22,235629
2024-05-23,281625
2024-05-24,322986
2024-05-25,129584
2024-05-26,173460
2024-05-27,315535
2024-05-28,529553
2024-05-29,118865
2024-05-30,1245883
2024-05-31,498615
2024-06-01,149206
2024-06-02,962964
2024-06-03,431930
2024-06-04,546408
2024-06-05,1190787
2024-06-06,1737696
2024-06-07,414746
2024-06-08,562696
2024-06-09,1441865
2024-06-10,2014251
2024-06-11,846798
2024-06-12,1821569
2024-06-13,483770
2024-06-14,1216377
2024-06-15,312285
2024-06-16,313190
2024-06-17,346289
2024-06-18,379964
2024-06-19,698746
2024-06-20,333487
2024-06-21,285332
2024-06-22,134984
2024-06-23,69500
2024-06-24,220707
2024-06-25,341740
2024-06-26,280460
2024-06-27,363774
2024-06-28,367914
2024-06-29,491634
2024-06-30,188497
2024-07-01,475663
2024-07-02,337648
2024-07-03,346509
2024-07-04,756519
2024-07-05,519149
2024-07-06,225448
2024-07-07,257578
2024-07-08,378823
2024-07-09,231655
2024-07-10,455981
2024-07-11,407274
2024-07-12,258627
2024-07-13,138031
2024-07-14,364418
2024-07-15,275721
2024-07-16,390162
2024-07-17,544649
2024-07-18,243039
2024-07-19,167602
2024-07-20,129709
2024-07-21,208214
2024-07-22,252674
2024-07-23,283188
2024-07-24,41317
2024-07-25,17844
2024-07-26,167108
2024-07-27,59479
2024-07-28,62506
2024-07-29,47967
2024-07-30,40394
2024-07-31,9540
2024-08-01,22620
2024-08-02,36425
2024-08-03,34176
2024-08-04,7827
2024-08-05,107606
2024-08-06,12960
2024-08-07,22669
2024-08-08,27889
2024-08-09,27889
2024-08-10,77568
2024-08-11,47771
2024-08-12,67736
2024-08-13,79477
2024-08-14,134519
2024-08-15,184498
2024-08-16,62436
2024-08-17,37843
2024-08-18,7270
2024-08-19,6377
2024-08-20,6377
2024-08-21,6377
2024-08-26,5682
2024-08-27,79676
2024-08-28,73240
2024-08-29,11017
2024-08-30,3810
2024-08-31,2096
2024-09-01,20528
2024-09-02,19215
2024-09-03,6606
2024-09-04,43273
2024-09-05,8325
2024-09-06,81813
2024-09-07,5482
2024-09-08,2788
2024-09-09,42406
2024-09-10,35321
2024-09-11,43071
2024-09-12,1422
2024-09-13,1747
2024-09-14,83
2024-09-16,6315
2024-09-17,21737
2024-09-18,29303
2024-09-19,854
2024-09-20,22
2024-09-21,562
2024-09-22,64
2024-09-23,18946
2024-09-24,27543
2024-09-25,1044
2024-09-26,9839
2024-09-27,19024
2024-09-28,63
2024-09-29,118
2024-09-30,6889
2024-10-01,124125
2024-10-02,52416
2024-10-03,131997
2024-10-04,13710
2024-10-05,447
2024-10-06,3216
2024-10-07,15796
2024-10-08,3691
2024-10-09,6345
2024-10-10,68432
2024-10-11,4625
2024-10-12,799
2024-10-13,159
2024-10-14,17059
2024-10-19,286101
2024-10-20,277103
2024-10-21,234627
2024-10-22,215611
2024-10-23,202634
2024-10-24,232863
2024-10-25,208686
2024-10-26,254888
2024-10-27,269018
2024-10-28,218555
2024-10-29,205294
2024-10-30,222167
2024-10-31,219916
2024-11-01,202444
2024-11-02,272950
2024-11-03,209021
2024-11-04,189293
2024-11-05,194842
2024-11-06,127682
2024-11-07,206735
2024-11-08,223518
2024-11-09,285005
2024-11-10,199349
2024-11-11,162431
2024-11-12,128212
2024-11-13,135127
2024-11-14,140006
2024-11-15,172686
2024-11-16,272860
2024-11-17,252441
2024-11-18,204470
2024-11-19,223805
2024-11-20,228462
2024-11-21,207786
2024-11-22,259654
2024-11-23,359125
2024-11-24,320211
2024-11-25,236671
2024-11-26,185352
2024-11-27,241510
2024-11-28,280229
2024-11-29,301693
2024-11-30,368060
2024-12-01,349633
2024-12-02,244590
2024-12-03,272375
2024-12-04,286032
2024-12-05,221516
2024-12-06,272683
2024-12-07,380618
2024-12-08,431079
2024-12-09,213634
2024-12-10,198798
2024-12-11,247803
2024-12-12,288677
2024-12-13,361183
2024-12-14,387907
2024-12-15,357947
2024-12-16,314266
2024-12-17,343494
2024-12-18,243354
2024-12-19,220914
2024-12-20,166770
2024-12-21,263569
2024-12-22,260474
2024-12-23,208922
2024-12-24,288629
2024-12-25,336517
2024-12-26,273995
2024-12-27,265851
2024-12-28,341723
2024-12-29,348853
2024-12-30,250772
2024-12-31,267201
2025-01-01,351907
2025-01-02,291501
2025-01-03,331955
2025-01-04,397066
2025-01-05,381656
2025-01-06,315166
2025-01-07,313320
2025-01-08,242584
2025-01-09,217714
2025-01-10,248144
2025-01-11,365938
2025-01-12,371924
2025-01-13,182590
2025-01-14,256525
2025-01-15,280986
2025-01-16,273663
2025-01-17,291014
2025-01-18,319393
2025-01-19,274377
2025-01-20,123996
2025-01-21,189179
2025-01-22,300019
2025-01-23,226866
2025-01-24,309987
2025-01-25,393984
2025-01-26,428342
2025-01-27,212254
2025-01-28,262738
2025-01-29,300925
2025-01-30,331626
2025-01-31,340459
2025-02-01,359180
2025-02-02,235138
2025-02-03,134682
2025-02-04,215368
2025-02-05,245822
2025-02-06,269388
2025-02-07,257066
2025-02-08,369670
2025-02-09,357843
2025-02-10,308460
2025-02-11,326948
2025-02-12,326948
2025-02-13,326948
