Date,timeStamp,Type,amount,price,pnl,net_position
2024-09-29 15:07:11,1727622431,BUY,225.99785863916776,2654.89241187002,141272.97633233073,225.99785863916776
2024-09-29 15:07:11,1727622431,BUY,629.4040363100822,2654.89241187002,393445.2390855411,855.4018949492499
2024-09-29 15:07:11,1727622431,BUY,74.57929335092537,2654.89241187002,46620.08218966915,929.9811883001753
2024-09-29 15:07:23,1727622443,BUY,200.0005025508445,2654.993328654303,125001.64836310658,1129.9816908510197
2024-09-29 15:10:11,1727622611,BUY,47.42831654525341,2656.640782933502,29564.87826756246,1177.4100073962732
2024-09-29 15:10:11,1727622611,BUY,225.8491264059686,2656.6407829335026,140785.13460744018,1403.2591338022416
2024-09-29 15:10:11,1727622611,BUY,112.9245632029843,2656.6407829335026,70392.56730372009,1516.183697005226
2024-09-29 15:10:11,1727622611,BUY,213.0655607108356,2656.6407829335026,132816.38110463807,1729.2492577160615
2024-09-29 15:10:23,1727622623,BUY,317.96963525401145,2656.7845212991683,198163.59844133342,2047.2188929700728
2024-09-29 15:10:23,1727622623,BUY,33.875536114607435,2656.7845212991683,21111.758455291892,2081.09442908468
2024-09-29 15:10:23,1727622623,BUY,31.796963525175304,2656.784521299169,19816.35984399258,2112.8913926098553
2024-09-29 15:10:23,1727622623,BUY,132.48734802244203,2656.7845212991683,82568.16601718316,2245.378740632297
2024-09-29 15:10:35,1727622635,BUY,13.819007966403811,2656.9200979739203,8610.346129551383,2259.197748598701
2024-09-29 15:28:11,1727623691,BUY,1128.3998965068963,2658.6319347306544,701151.6605219514,3387.597645105597
2024-09-29 15:28:59,1727623739,BUY,345.2447369651092,2660.030637118186,214041.15960823448,4202.348097627812
2024-09-29 15:28:59,1727623739,BUY,103.57342108941998,2660.030637118186,64212.34788240042,3857.1033606627034
2024-09-29 15:28:59,1727623739,BUY,172.62236848236665,2660.0306371181855,107020.57980400078,3753.5299395732836
2024-09-29 15:28:59,1727623739,BUY,12.056439078740992,2660.0306371181864,7474.622854049618,3510.132400013203
2024-09-29 15:28:59,1727623739,BUY,110.47831582886502,2660.030637118186,68493.17107465367,3498.0759609344623
2024-09-29 15:28:59,1727623739,BUY,70.77517107771394,2660.030637118186,43878.43771960533,3580.907571090917
2024-09-29 15:29:11,1727623751,BUY,89.76137168237629,2660.097608901411,55643.28893255009,4292.109469310189
2024-09-29 15:29:11,1727623751,BUY,74.22574966019519,2660.0976089014116,46012.71969408066,4366.335218970384
2024-09-29 15:29:11,1727623751,BUY,5.178540673809743,2660.097608901411,3210.1897460011032,4371.513759644194
2024-09-29 15:29:11,1727623751,BUY,182.29005693075368,2660.097608901411,113002.04216153313,4553.803816574948
2024-09-29 15:29:11,1727623751,BUY,236.97709214375044,2660.097608901411,146902.66605116086,4790.780908718698
2024-09-29 15:29:23,1727623763,BUY,33.72277469867922,2660.167484632085,20902.472266050136,4833.61794684931
2024-09-29 15:29:23,1727623763,BUY,9.114263431933226,2660.167484632085,5649.316828574036,4799.895172150631
2024-09-29 15:30:35,1727623835,BUY,56.02636955824786,2660.5483059549088,34705.629533026746,4889.644316407558
2024-09-29 15:30:35,1727623835,BUY,11.012746042392878,2660.5483059549088,6821.864191846925,4900.657062449951
2024-09-29 15:30:47,1727623847,BUY,42.61800139170538,2660.582332001813,26398.343036013008,4943.275063841656
2024-09-29 15:30:59,1727623859,BUY,68.18801803647769,2660.6129298104397,42234.77671239783,5011.463081878134
2024-09-29 15:35:35,1727624135,BUY,7.269662012512086,2665.160970985072,4469.671932906483,5018.732743890647
2024-09-29 15:35:35,1727624135,BUY,81.68598794035825,2665.1609709850713,50223.73350787881,5100.418731831005
2024-09-29 15:35:47,1727624147,BUY,13.151710654873808,2665.1861636729664,8085.853681745193,5113.570442485879
2024-09-29 15:53:11,1727625191,BUY,29.02304217570304,2669.391358940935,17721.72034177436,5142.593484661582
2024-09-29 15:53:23,1727625203,BUY,108.7210333165128,2669.4833763865577,66375.99817417056,5251.314517978095
2024-09-29 15:53:47,1727625227,BUY,12.719486449708407,2669.6668998596606,7763.123596810592,5264.034004427804
2024-09-29 15:53:59,1727625239,BUY,195.67785536860632,2669.7562838672316,119411.18162144453,5459.71185979641
